threshold,tp,fp,tn,fn,recall,fpr,projected_precision
0.9974,1,0,500,499,0.002,0.0,1.0
0.9973,2,0,500,498,0.004,0.0,1.0
0.997,4,0,500,496,0.008,0.0,1.0
0.9968,5,0,500,495,0.01,0.0,1.0
0.9967,6,0,500,494,0.012,0.0,1.0
0.9965,7,0,500,493,0.014,0.0,1.0
0.9962,8,0,500,492,0.016,0.0,1.0
0.9961,9,0,500,491,0.018,0.0,1.0
0.996,12,0,500,488,0.024,0.0,1.0
0.9959,13,0,500,487,0.026,0.0,1.0
0.9958,14,0,500,486,0.028,0.0,1.0
0.9957,15,0,500,485,0.03,0.0,1.0
0.9956,16,0,500,484,0.032,0.0,1.0
0.9955,18,0,500,482,0.036,0.0,1.0
0.9954,19,0,500,481,0.038,0.0,1.0
0.9953,20,0,500,480,0.04,0.0,1.0
0.9952,23,0,500,477,0.046,0.0,1.0
0.9951,27,0,500,473,0.054,0.0,1.0
0.995,28,0,500,472,0.056,0.0,1.0
0.9949,32,0,500,468,0.064,0.0,1.0
0.9948,36,0,500,464,0.072,0.0,1.0
0.9946,39,0,500,461,0.078,0.0,1.0
0.9945,40,0,500,460,0.08,0.0,1.0
0.9944,42,0,500,458,0.084,0.0,1.0
0.9943,43,0,500,457,0.086,0.0,1.0
0.9942,46,0,500,454,0.092,0.0,1.0
0.9941,51,0,500,449,0.102,0.0,1.0
0.994,53,0,500,447,0.106,0.0,1.0
0.9939,59,0,500,441,0.118,0.0,1.0
0.9938,67,0,500,433,0.134,0.0,1.0
0.9937,70,0,500,430,0.14,0.0,1.0
0.9936,74,0,500,426,0.148,0.0,1.0
0.9935,80,0,500,420,0.16,0.0,1.0
0.9934,87,0,500,413,0.174,0.0,1.0
0.9933,90,0,500,410,0.18,0.0,1.0
0.9932,99,0,500,401,0.198,0.0,1.0
0.9931,103,0,500,397,0.206,0.0,1.0
0.993,104,0,500,396,0.208,0.0,1.0
0.9929,109,0,500,391,0.218,0.0,1.0
0.9928,113,0,500,387,0.226,0.0,1.0
0.9927,118,0,500,382,0.236,0.0,1.0
0.9926,120,0,500,380,0.24,0.0,1.0
0.9924,124,0,500,376,0.248,0.0,1.0
0.9923,127,0,500,373,0.254,0.0,1.0
0.9922,134,0,500,366,0.268,0.0,1.0
0.9921,137,0,500,363,0.274,0.0,1.0
0.992,140,0,500,360,0.28,0.0,1.0
0.9919,143,0,500,357,0.286,0.0,1.0
0.9918,145,0,500,355,0.29,0.0,1.0
0.9917,149,0,500,351,0.298,0.0,1.0
0.9916,152,0,500,348,0.304,0.0,1.0
0.9915,157,0,500,343,0.314,0.0,1.0
0.9914,161,0,500,339,0.322,0.0,1.0
0.9913,166,0,500,334,0.332,0.0,1.0
0.9912,170,0,500,330,0.34,0.0,1.0
0.9911,175,0,500,325,0.35,0.0,1.0
0.991,177,0,500,323,0.354,0.0,1.0
0.9909,179,0,500,321,0.358,0.0,1.0
0.9908,181,0,500,319,0.362,0.0,1.0
0.9907,183,0,500,317,0.366,0.0,1.0
0.9906,186,0,500,314,0.372,0.0,1.0
0.9905,188,0,500,312,0.376,0.0,1.0
0.9904,192,0,500,308,0.384,0.0,1.0
0.9903,196,0,500,304,0.392,0.0,1.0
